ID	CHOICE	TAXI_TT	TAXI_COST	TRANSIT_TT	av1	av2	av3
1	3	47.88	56.07	58.08	1	1	1
2	3	35.06	57.6	72.22	1	1	1
3	3	35.06	57.6	72.22	1	1	1
4	3	35.06	57.6	72.22	1	1	1
5	3	28.72	38.71	64.05	1	1	1
6	3	40.19	57.31	62.23	1	1	1
7	3	40.19	57.31	62.23	1	1	1
8	3	48.21	56.38	74.53	1	1	1
9	3	45.33	53.72	72.52	1	1	1
10	3	45.33	53.72	72.52	1	1	1
11	3	45.33	53.72	72.52	1	1	1
12	3	26.37	36.1	65.53	1	1	1
13	3	40.97	55.99	53.68	1	1	1
14	3	49.08	54.5	71.12	1	1	1
15	3	24.58	41.11	58.77	1	1	1
16	3	37.61	50.66	55.13	1	1	1
17	3	37.61	50.66	55.13	1	1	1
18	3	37.61	50.66	55.13	1	1	1
19	3	42.8	56.18	70.38	1	1	1
20	3	42.8	56.18	70.38	1	1	1
21	3	33.84	57.53	73.08	1	1	1
22	3	39.88	57.58	74.75	1	1	1
23	3	33.02	43.99	64.75	1	1	1
24	3	33.58	44.47	66.5	1	1	1
25	3	32.31	39.57	75.93	1	1	1
26	3	32.31	39.57	75.93	1	1	1
27	3	47.26	53.48	72.18	1	1	1
58	2	47.88	56.07	58.08	1	1	1
59	2	47.88	56.07	58.08	1	1	1
60	2	47.88	56.07	58.08	1	1	1
61	2	47.88	56.07	58.08	1	1	1
62	2	28.72	38.71	64.05	1	1	1
63	2	47.49	57.02	60.83	1	1	1
64	2	47.49	57.02	60.83	1	1	1
65	2	47.49	57.02	60.83	1	1	1
66	2	47.49	57.02	60.83	1	1	1
67	2	47.49	57.02	60.83	1	1	1
68	2	35.34	51.84	55.02	1	1	1
69	2	34.71	46.63	67.52	1	1	1
70	2	40.19	57.31	62.23	1	1	1
71	2	40.19	57.31	62.23	1	1	1
72	2	40.19	57.31	62.23	1	1	1
73	2	40.19	57.31	62.23	1	1	1
74	2	33.2	57.83	96.25	1	1	1
75	2	48.21	56.38	74.53	1	1	1
76	2	48.21	56.38	74.53	1	1	1
77	2	48.21	56.38	74.53	1	1	1
78	2	48.21	56.38	74.53	1	1	1
79	2	48.21	56.38	74.53	1	1	1
80	2	48.21	56.38	74.53	1	1	1
81	2	16.15	23.29	38.62	1	1	1
82	2	16.15	23.29	38.62	1	1	1
83	2	45.33	53.72	72.52	1	1	1
84	2	26.37	36.1	65.53	1	1	1
85	2	26.37	36.1	65.53	1	1	1
86	2	26.37	36.1	65.53	1	1	1
87	2	26.37	36.1	65.53	1	1	1
88	2	26.37	36.1	65.53	1	1	1
100	2	37.61	50.66	55.13	1	1	1
101	2	37.61	50.66	55.13	1	1	1
102	2	37.61	50.66	55.13	1	1	1
103	2	42.8	56.18	70.38	1	1	1
104	2	42.8	56.18	70.38	1	1	1
105	2	42.8	56.18	70.38	1	1	1
106	2	25.6	40.66	73.22	1	1	1
107	2	33.84	57.53	73.08	1	1	1
108	2	46.91	57.2	65.05	1	1	1
109	2	46.91	57.2	65.05	1	1	1
110	2	29.35	57.71	96	1	1	1
111	2	39.88	57.58	74.75	1	1	1
112	2	39.88	57.58	74.75	1	1	1
113	2	39.88	57.58	74.75	1	1	1
114	2	39.88	57.58	74.75	1	1	1
115	2	37.28	57.74	77.38	1	1	1
116	2	46.38	57.4	50.02	1	1	1
117	2	46.38	57.4	50.02	1	1	1
118	2	46.38	57.4	50.02	1	1	1
119	2	46.38	57.4	50.02	1	1	1
120	2	46.38	57.4	50.02	1	1	1
121	2	46.38	57.4	50.02	1	1	1
122	2	38.82	53.9	77.08	1	1	1
123	2	38.82	53.9	77.08	1	1	1
124	2	45.64	54.32	70.65	1	1	1
125	2	45.64	54.32	70.65	1	1	1
126	2	47.26	53.48	72.18	1	1	1
127	2	28.17	37.41	60.3	1	1	1
